state,city,population,location
FL,Coral Springs,121096,"(26.27017001580, -80.2592221493)"
FL,Davie,91992,"(26.07893407780, -80.2869750311)"
FL,Deerfield Beach,75018,"(26.30499664130, -80.1277706584)"
FL,Deltona,85182,"(28.90506004800, -81.2134269839)"
FL,Fort Lauderdale,165521,"(26.14182051740, -80.1471225502)"
FL,Gainesville,124354,"(29.68170274310, -82.3452782660)"
FL,Hialeah,224669,"(25.86962694800, -80.3045294666)"
FL,Hollywood,140768,"(26.02870257030, -80.1683976059)"
FL,Jacksonville,821784,"(30.33198201390, -81.6752266207)"
FL,Lakeland,97422,"(28.05584826640, -81.9539536462)"
FL,Largo,77648,"(27.90909077340, -82.7714203383)"
FL,Lauderhill,66887,"(26.16055841870, -80.2241278263)"
FL,Melbourne,76068,"(28.11588057820, -80.6508814613)"
FL,Miami,399457,"(25.78229589700, -80.2215647762)"
FL,Miami Beach,87779,"(25.81671016140, -80.1341952652)"
FL,Miami Gardens,107167,"(25.94326338710, -80.2425332162)"
FL,Miramar,122041,"(25.97732882330, -80.3357316003)"
FL,Orlando,238300,"(28.48006467710, -81.3452411179)"
FL,Palm Bay,103190,"(27.98382552490, -80.6666722846)"
FL,Palm Coast,75180,"(29.54055909760, -81.2508206143)"
FL,Pembroke Pines,154750,"(26.01273875340, -80.3384522664)"
FL,Plantation,84955,"(26.12598539230, -80.2616762465)"
FL,Pompano Beach,99845,"(26.24283356990, -80.1312451610)"
FL,Port St. Lucie,164603,"(27.28086803080, -80.3832154574)"
FL,St. Petersburg,244769,"(27.79289497100, -82.6650743239)"
FL,Sunrise,84439,"(26.15468783030, -80.2998411020)"
FL,Tallahassee,181376,"(30.45489512110, -84.2526459938)"
FL,Tampa,335709,"(27.99619804100, -82.4450349799)"
FL,West Palm Beach,99919,"(26.74787146550, -80.1337397544)"
GA,Albany,77434,"(31.57760367660, -84.1763240815)"
GA,Athens,115452,"(33.95081706830, -83.3689417445)"
GA,Atlanta,420003,"(33.76265246830, -84.4231419055)"
GA,Augusta,195844,"(33.36445615270, -82.0708396775)"
GA,Columbus,189885,"(32.50996148520, -84.8770410586)"
GA,Johns Creek,76728,"(34.03329919980, -84.2027195506)"
GA,Macon,91351,"(32.83204176920, -83.6495823768)"
GA,Roswell,88346,"(34.03913845830, -84.3512225277)"
GA,Sandy Springs,93853,"(33.93666698670, -84.3703197084)"
GA,Savannah,136286,"(32.02836151570, -81.1783435493)"
GA,Warner Robins,66588,"(32.59851136090, -83.6530271267)"
HI,Honolulu,953207,"(21.45880393050, -157.973296737)"
ID,Boise City,205671,"(43.59843438970, -116.230885189)"
ID,Meridian,75092,"(43.61851953830, -116.397584870)"
ID,Nampa,81557,"(43.58293156810, -116.564145085)"
IL,Arlington Heights,75101,"(42.09562334200, -87.9825627457)"
IL,Aurora,197899,"(41.76377508370, -88.2900949057)"
IL,Bloomington,76610,"(40.47567783660, -88.9700813515)"
IL,Bolingbrook,73366,"(41.69116539080, -88.1011218035)"
IL,Champaign,81055,"(40.11510513610, -88.2729845986)"
IL,Chicago,2695598,"(41.83729506150, -87.6862308732)"
